"Year","SizeGroup","Metric","Mean","SD","Min","Q1","Med","Q3","Max"
2019,"Small","AE",0.916622074439723,0.054263643798752,0.800109187511286,0.88183109629251,0.913460773243933,0.965216993746454,1
2019,"Small","EE",0.886572171488283,0.0695621295191143,0.787092251319023,0.832496676231939,0.872844256610289,0.953311127053367,1
2019,"Small","PTE",0.967051202049945,0.0445262385779831,0.865452216588111,0.933737099777783,0.992554753422247,1,1
2019,"Small","PTE_bc",0.940520709957258,0.0375656291959503,0.849243240754143,0.917358235844254,0.954935414474616,0.966239729727865,0.976812193859879
2019,"Small","PTE_ci_high",0.965606791273603,0.0444042085024116,0.864390673710015,0.932319807657049,0.991055598772843,0.998581472148588,0.999560784680842
2019,"Small","PTE_ci_low",0.90406075643547,0.0339982850940922,0.828602142864332,0.873515253617345,0.90803005398925,0.930351966085117,0.950877565005324
2019,"Small","SE",0.964184048955283,0.0392808901529904,0.860605632205255,0.938951462469286,0.977970743716516,0.9935729024065,1
2019,"Small","TE",0.93227836653053,0.0554233829692126,0.816149176449996,0.897043847121814,0.931833775333638,0.975850485682171,1
2019,"Small","TE_bc",0.910552204250071,0.050346104298231,0.802917305520946,0.885393497339874,0.91777379655688,0.954479957291606,0.972968893339242
2019,"Small","TE_ci_high",0.930342812445706,0.0554850528339203,0.814126105684288,0.896296325194389,0.929982131778165,0.974205213392103,0.999086100715661
2019,"Small","TE_ci_low",0.887387715668874,0.0463323327635368,0.780868921783719,0.865611382475816,0.896896644560148,0.920928440616464,0.94761911924922
2019,"Medium","AE",0.884023927473289,0.0499442362534695,0.772544407956492,0.85252510888917,0.882251438195269,0.91500412144881,0.999999999999999
2019,"Medium","EE",0.830293359552107,0.0622321776232871,0.713086309977511,0.787998142143317,0.83001579522378,0.858271291335149,0.999999999999999
2019,"Medium","PTE",0.939242294498288,0.0455727051489397,0.821437901242107,0.915168088309026,0.935697802189698,0.973099739386389,1
2019,"Medium","PTE_bc",0.919946092794095,0.0413180313743669,0.804817637955663,0.897734494171303,0.918368892338219,0.952258067959096,0.981972208600769
2019,"Medium","PTE_ci_high",0.938056712188796,0.0456209742452936,0.81924613061044,0.913698438870431,0.934457378377005,0.971746987056781,0.999460057468066
2019,"Medium","PTE_ci_low",0.896421579431764,0.0387229674733605,0.785499325650623,0.881550909292171,0.894482154833635,0.919107779172539,0.96380723836232
2019,"Medium","SE",0.993523004161473,0.00952122895577635,0.953559391008497,0.993068491077417,0.995916730438769,0.998832844000419,1
2019,"Medium","TE",0.93345872503117,0.0516080662690314,0.783289824859721,0.908425937753234,0.93294651252268,0.969848941158027,1
2019,"Medium","TE_bc",0.9122374876506,0.0477779955559293,0.764181769078294,0.887298497280975,0.910825365152361,0.948058832579101,0.982316665258411
2019,"Medium","TE_ci_high",0.931409502936939,0.0516455066174172,0.778529021895666,0.905364723650486,0.931029089855141,0.967591470520969,0.998330236153234
2019,"Medium","TE_ci_low",0.890880092346925,0.0468295139640417,0.739707023215158,0.869755530877617,0.896675483886781,0.917082607702455,0.969711355646692
2019,"Large","AE",0.921000848860314,0.0593657303586986,0.777909695641887,0.881113601179094,0.92270652113147,0.963436836469747,0.999999999999999
2019,"Large","EE",0.882116072536367,0.0802714029322,0.75185268935358,0.820736050989533,0.866135668771311,0.957351982665767,0.999999999999999
2019,"Large","PTE",0.957425859741838,0.0538355639435447,0.84587039477517,0.907222350176065,0.993598851467913,1,1
2019,"Large","PTE_bc",0.928993967313132,0.0452911598732482,0.829736689411791,0.891224223552545,0.953933279369542,0.961449105623938,0.979168789085
2019,"Large","PTE_ci_high",0.95632532800858,0.0538648549401341,0.845059375956276,0.905922032967584,0.992773176019566,0.998831278600773,0.999577123007734
2019,"Large","PTE_ci_low",0.88986462852972,0.0392423024859246,0.80459788136686,0.865166466755139,0.896332218818404,0.918986122130663,0.961473153065569
2019,"Large","SE",0.986116170624015,0.0226717281610333,0.905029816299201,0.986429103313179,0.995207443721169,1,1
2019,"Large","TE",0.943885921815266,0.0535088901913494,0.840515603097254,0.901612152684899,0.948984293614615,1,1
2019,"Large","TE_bc",0.918678868754054,0.0472490481609135,0.825502403043335,0.879831938214563,0.930333253064571,0.959337104414501,0.981484071558151
2019,"Large","TE_ci_high",0.941934748719569,0.0534251065564585,0.838636731975402,0.899961251241652,0.94715580508771,0.99721277150988,0.999008450317674
2019,"Large","TE_ci_low",0.894770183958589,0.0459157030530333,0.813778727458055,0.84616374994976,0.910636872109043,0.929281409739026,0.968462184616396
2020,"Small","AE",0.890909007143615,0.0580710736151601,0.771478528051313,0.861918542333025,0.892692444366449,0.924292352534739,1.00000000000002
2020,"Small","EE",0.862270919626185,0.0652757145915993,0.747187033633938,0.82580404883801,0.857452921116685,0.885186665809191,1.00000000000002
