"Year","Hospital","SizeGroup","TE","PTE","SE","EE","AE","TE_bc","PTE_bc","TE_ci_low","TE_ci_high","PTE_ci_low","PTE_ci_high"
2019,"H001","Large",1,1,1,0.999999999999997,0.999999999999997,0.965768875361691,0.946984156765363,0.933384292295627,0.997556258856403,0.871105017509436,0.997956694743304
2019,"H002","Medium",0.862517941746518,0.866054274805203,0.995916730438769,0.754858974841757,0.871607007553359,0.851947045827197,0.856108794825189,0.841591635643561,0.861656708381358,0.846672393446044,0.864125539917841
2019,"H003","Small",0.915266511245743,0.933737099777783,0.980218641268045,0.832496676231939,0.891575023023143,0.903662990044214,0.918068104242195,0.893657351665904,0.913894157214437,0.898555718321237,0.932473510469179
2019,"H004","Large",1,1,1,0.848935642602054,0.848935642602053,0.958247196780668,0.956544767038111,0.923016083850056,0.997803380852697,0.906927717877568,0.999331699827588
2019,"H005","Large",0.925890846597497,0.934340922468194,0.990956110700605,0.867369610210402,0.928322402832494,0.90913972450746,0.920915055074128,0.894696135853351,0.923370471756977,0.904937376325928,0.933253229984811
2019,"H006","Medium",1,1,1,0.854269420827229,0.854269420827229,0.977406767956128,0.978560178100036,0.952647569366332,0.99770419566364,0.953349090503307,0.999339474499947
2019,"H007","Small",1,1,1,0.990813296094851,0.990813296094851,0.954088212222866,0.951706807099609,0.913171699586294,0.995043948954342,0.89355014437012,0.997537993146692
2019,"H008","Large",0.87905328417331,0.884440888476246,0.993908463105751,0.856279589054852,0.968159206807014,0.860415495173504,0.864935826565901,0.838214371136088,0.877224024434986,0.832434021658556,0.883800270357617
2019,"H009","Small",1,1,1,0.838027169242162,0.838027169242162,0.960645577071398,0.964305559935326,0.927125204070168,0.997509718974347,0.908151025390713,0.998763965657538
2019,"H010","Medium",0.915624813331606,0.917354487091971,0.998114497956129,0.822822419112997,0.89695143010785,0.90604856839167,0.90726678356717,0.898333402978479,0.912963086839387,0.896833284655676,0.916163008757282
2019,"H011","Large",0.993186247879651,0.993688097134774,0.999494963000392,0.915443153592895,0.921258044886023,0.981407319877882,0.977504442891486,0.96824658306099,0.991601411779495,0.953399718105029,0.992385470808233
2019,"H012","Medium",0.93294651252268,0.933715270745745,0.999176667398348,0.86227316184307,0.923486194195351,0.907932195794769,0.911394635088263,0.884263905962266,0.93138097251639,0.882995507683651,0.932537260728352
2019,"H013","Small",0.917508239116525,1,0.917508239116525,0.98047705353004,0.98047705353004,0.892336120915065,0.970368035708761,0.86774269982831,0.915622018413842,0.928930456928985,0.998588526140908
2019,"H014","Medium",1,1,1,0.935617320179021,0.935617320179021,0.955809441361876,0.95513995749965,0.908270451285626,0.998975030762275,0.88156734297605,0.998717804158647
2019,"H015","Medium",0.994966258995575,0.998153900803724,0.996806462605033,0.884448476981729,0.886084276452321,0.969247449460108,0.978316377575225,0.939262911886771,0.993781830209365,0.944499606051099,0.997315835654927
2019,"H016","Medium",0.956911434176606,0.95785421722426,0.999015734304135,0.874938021713719,0.913435474814924,0.937702916913782,0.941181767426964,0.920863130759946,0.954670498494326,0.921403012518092,0.956830238616485
2019,"H017","Small",0.971631302441777,0.988086304866336,0.983346593973099,0.833861165305435,0.843915315088023,0.946776584049242,0.96735411309896,0.921072344600576,0.969644636245323,0.937984378550985,0.986942867822889
2019,"H018","Small",0.892920999752581,0.923103593727924,0.967303134577289,0.814021454048651,0.88183109629251,0.872384427703957,0.901032624029969,0.854597863148913,0.892413885162756,0.866845210807348,0.921913901059967
2019,"H019","Small",0.919190164159993,1,0.919190164159993,0.953311127053367,0.953311127053367,0.907557950166246,0.977718767141234,0.895125818347864,0.916470977025356,0.95657936557941,0.998791223756188
